?prefix	?numberOfClasses
"ejp-rd.owl#National"	1
"ejp-rd.owl#Vasculitis"	1
"ejp-rd.owl#Ukrainian"	1
"ejp-rd.owl#PCD"	1
"ejp-rd.owl#Paediatric"	1
"ejp-rd.owl#NEOCYST"	1
"ejp-rd.owl#Radboud"	1
"ejp-rd.owl#Registry"	4
"ejp-rd.owl#French"	1
"ejp-rd.owl#Rett"	1
"ejp-rd.owl#European"	4
"OMIABIS"	1
"ejp-rd.owl#Banque"	1
"ejp-rd.owl#The"	1
"ejp-rd.owl#EuroBloodNet"	1
"ejp-rd.owl#Spanish"	1
"ejp-rd.owl#UMD"	1
""	6
"ejp-rd.owl#BIOGEN"	1
"ejp-rd.owl#EUROCAT"	1
"ejp-rd.owl#Rare"	2
"ejp-rd.owl#International"	1
"ejp-rd.owl#Unified"	1
"ejp-rd.owl#JRC"	1
"ejp-rd.owl#Eurocat"	1
"ejp-rd.owl#Spñanish"	1
