11-beta-hydroxylase deficiency							
12q14 microdeletion syndrome							
15q11.2 microdeletion							
15q13.3 microdeletion syndrome	15q13.3 microdeletion syndrome	15q13.3 microdeletion syndrome	Orphanet_199318				
							
15q24 microdeletion syndrome							
16p11.2 deletion syndrome	16p11.2 deletion syndrome	Proximal 16p11.2 microdeletion syndrome	Orphanet_261197				
16p13.11 microduplication syndrome							
16q24.3 microdeletion syndrome	16q24.3 microdeletion syndrome	16q24.3 microdeletion syndrome	Orphanet_261250				
17-alpha-hydroxylase deficiency							
17-beta hydroxysteroid dehydrogenase 3 deficiency							
17q12 deletion syndrome							
17q12 duplication							
17q23.1q23.2 microdeletion syndrome							
18 Hydroxylase deficiency							
19p13.12 microdeletion syndrome							
1q duplications							
1q21.1 microdeletion syndrome							
1q44 microdeletion syndrome							
2-Hydroxyglutaric aciduria							
2-methyl-3-hydroxybutyric aciduria	2-methyl-3-hydroxybutyric aciduria	HSD10 disease	Orphanet_391417				
2-methylbutyryl-CoA dehydrogenase deficiency							
"2,4-Dienoyl-CoA reductase deficiency"	"2,4-Dienoyl-CoA reductase deficiency"	progressive encephalopathy with leukodystrophy due to DECR deficiency	MONDO_0014464				
20p12.3 microdeletion syndrome							
21-hydroxylase deficiency							
22q11.2 deletion syndrome							
22q11.2 duplication syndrome	22q11.2 duplication syndrome	22q11.2 microduplication syndrome	Orphanet_1727				
22q13.3 deletion syndrome	22q13.3 deletion syndrome	Monosomy 22q13	Orphanet_48652				
2p15p16.1 microdeletion syndrome							
2q23.1 microdeletion syndrome							
2q37 deletion syndrome							
3-alpha hydroxyacyl-CoA dehydrogenase deficiency							
3-beta-hydroxysteroid dehydrogenase deficiency	3-beta-hydroxysteroid dehydrogenase deficiency	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency	Orphanet_90791				
3-Hydroxyisobutyric aciduria							
3-methylcrotonyl-CoA carboxylase deficiency	3-methylcrotonyl-CoA carboxylase deficiency	3-methylcrotonyl-CoA carboxylase deficiency	Orphanet_6				
3-methylglutaconyl-CoA hydratase deficiency (AUH defect)							
3M syndrome							
3MC syndrome							
